Announcement Date,年度/截至,派息事項,派息內容,方式,Div Date,截止過戶日期,Div Issue Date
2009-03-02,2022-12-08,末期業績,股息：美元 0.1000,現金/實物,2009-03-18,2009/03/20-2009/03/20,2009-05-06
2009-03-02,2022-12-08,特別報告,供股：12股供5股@港元 28.0000,-,2009-03-12,2009/03/14-2009/03/14,2009-04-03
2008-11-03,2022-12-08,第三次中期業績,股息：美元 0.1800,現金/實物,2008-11-19,2008/11/21-2008/11/21,2009-01-14
2008-08-04,2022-12-08,第二次中期業績,股息：美元 0.1800,現金/實物,2008-08-20,2008/08/22-2008/08/22,2008-10-08
2008-05-06,2022-12-08,中期業績,股息：美元 0.1800,現金/實物,2008-05-21,2008/05/23-2008/05/23,2008-07-09
2008-03-03,2022-12-07,末期業績,股息：美元 0.3900,現金/實物,2008-03-19,2008/03/25-2008/03/25,2008-05-07
2007-11-05,2022-12-07,第三次中期業績,股息：美元 0.1700,現金/實物,2007-11-21,2007/11/23-2007/11/23,2008-01-16
2007-07-30,2022-12-07,第二次中期業績,股息：美元 0.1700,現金/實物,2007-08-15,2007/08/17-2007/08/17,2007-10-04
2007-04-30,2022-12-07,中期業績,股息: 美元 0.1700,現金/實物,2007-05-16,2007/05/18-2007/05/18,2007-07-05
2007-03-05,2022-12-06,末期業績,股息: 美元 0.3600,現金/實物,2007-03-21,2007/03/23-2007/03/23,2007-05-10
2006-11-06,2022-12-06,第三次中期業績,股息：美元 0.1500,現金/實物,2006-11-22,2006/11/24-2006/11/24,2007-01-18
2006-07-31,2022-12-06,第二次中期業績,股息：美元 0.1500,現金/實物,2006-08-16,2006/08/18-2006/08/18,2006-10-04
2006-05-02,2022-12-06,中期業績,股息：美元 0.1500,現金/實物,2006-05-17,2006/05/19-2006/05/19,2006-07-06
2006-03-06,2022-12-05,末期業績,股息: 美元 0.3100,現金/實物,2006-03-22,2006/03/24-2006/03/24,2006-05-11
2005-11-07,2022-12-05,第三次中期業績,股息: 美元 0.1400,現金/實物,2005-11-23,2005/11/25-2005/11/25,2006-01-19
2005-08-01,2022-12-05,第二次中期業績,股息: 美元 0.1400,現金/實物,2005-08-17,2005/08/19-2005/08/19,2005-10-05
2005-05-03,2022-12-05,中期業績,股息: 美元 0.1400,現金/實物,2005-05-18,2005/05/20-2005/05/20,2005-07-06
2005-02-28,2022-12-04,末期業績,股息: 美元 0.2700,現金/實物,2005-03-16,2005/03/18-2005/03/18,2005-05-04
2004-11-08,2022-12-04,第三次中期業績,股息: 美元 0.1300,現金/實物,2004-11-24,2004/11/26-2004/11/26,2005-01-20
2004-08-02,2022-12-04,第二次中期業績,股息: 美元 0.1300,現金/實物,2004-08-18,2004/08/20-2004/08/20,2004-10-06
2004-05-04,2022-12-04,中期業績,股息: 美元 0.1300,現金/實物,2004-05-19,2004/05/21-2004/05/21,2004-07-07
2004-03-01,2022-12-03,末期業績,股息: 美元 0.2400,現金/實物,2004-03-17,2004/03/19-2004/03/19,2004-05-05
2003-11-10,2022-12-03,第二次中期業績,股息: 美元 0.1200,現金/實物,2003-11-26,2003/11/28-2003/11/28,2004-01-20
2003-08-04,2022-12-03,中期業績,股息: 美元 0.2400,現金/實物,2003-08-20,2003/08/22-2003/08/22,2003-10-07
2003-03-03,2022-12-02,末期業績,股息: 美元 0.3250,現金/實物,2003-03-19,2003/03/21-2003/03/21,2003-05-06
2002-08-05,2022-12-02,中期業績,股息: 美元 0.2050,現金/實物,2002-08-21,2002/08/23-2002/08/23,2002-10-09
2002-03-04,2022-12-01,末期業績,股息: 美元 0.2900,現金/實物,2002-03-20,2002/03/22-2002/03/22,2002-05-07
2001-08-06,2022-12-01,中期業績,股息：美元 0.1900,現金/實物,2001-08-22,2001/08/24-2001/08/24,2001-10-09
2001-02-26,2000-12-01,末期業績,股息：美元 0.2850,現金/實物,2001-03-14,2001/03/16-2001/03/16,2001-05-02
2000-07-31,2000-12-01,中期業績,股息：美元 0.1500,現金/實物,2000-08-14,2000/08/16-2000/08/18,2000-10-05
