Date,stock_key,multivariate_past_history,rnn_start,BATCH_SIZE,EPOCHS,EVALUATION_INTERVAL,PATIENCE,BUFFER_SIZE,VAL_STEPS,DROP_OUT,train_split,multivariate_future_target,STEP
2022-10-01,0001.HK,1,365,128,400,50,150,100,50,0.1,0.8,0,1
2022-10-01,0001.HK,1,365,128,400,50,150,100,50,0.1,0.9,0,1
2022-10-01,0001.HK,1,365,128,400,50,150,100,50,0.1,0.95,0,1
2022-10-01,0005.HK,1,365,128,600,50,150,100,50,0.1,0.8,0,1
2022-10-01,0005.HK,1,365,1,600,50,150,100,50,0.2,0.8,0,1
2022-10-01,0001.HK,1,365,1,800,50,150,100,50,0.2,0.8,0,1
2022-10-01,0001.HK,1,365,512,1000,50,200,100,50,0.2,0.8,0,1
2022-10-01,0144.HK,1,365,512,1000,50,200,100,50,0.2,0.8,0,1
2022-10-01,0005.HK,1,730,7,1000,50,250,100,50,0.2,0.8,0,1
2022-10-01,0144.HK,1,365,512,1000,50,250,100,50,0.2,0.8,0,1
2022-10-01,2888.HK,1,730,6,1000,50,300,100,50,0.2,0.8,0,1
2022-10-01,0144.HK,1,365,512,1000,50,500,100,50,0.2,0.8,0,1
2022-10-01,0005.HK,1,365,100,1200,40,250,100,50,0.2,0.8,0,1
2022-10-01,0001.HK,1,730,256,1200,50,350,100,50,0.1,0.8,0,1
2022-10-01,2888.HK,1,365,12,1500,50,300,100,50,0.2,0.8,0,1
2022-10-01,2888.HK,1,730,12,2000,40,500,100,50,0.3,0.95,0,1
2022-10-03,0001.HK,10,20,128,1000,40,50,100,50,0,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,40,50,100,50,0.01,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,40,50,100,50,0.1,0.85,0,1
2022-10-03,0001.HK,10,20,128,1000,40,50,100,50,0.1,0.9,0,1
2022-10-03,0001.HK,10,20,128,1000,40,50,100,50,0.1,0.95,0,1
2022-10-03,0001.HK,10,20,128,1000,40,100,100,50,0,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,40,100,100,50,0.01,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,40,100,100,50,0.1,0.85,0,1
2022-10-03,0001.HK,10,20,128,1000,40,100,100,50,0.1,0.9,0,1
2022-10-03,0001.HK,10,20,128,1000,40,100,100,50,0.1,0.95,0,1
2022-10-03,0001.HK,10,20,128,1000,50,50,100,50,0,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,50,50,100,50,0.01,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,50,50,100,50,0.1,0.85,0,1
2022-10-03,0001.HK,10,20,128,1000,50,50,100,50,0.1,0.9,0,1
2022-10-03,0001.HK,10,20,128,1000,50,50,100,50,0.1,0.95,0,1
2022-10-03,0005.HK,10,20,128,1000,40,50,100,50,0,0.8,0,1
2022-10-03,0005.HK,10,20,128,1000,40,50,100,50,0.01,0.8,0,1
2022-10-03,0005.HK,10,20,128,1000,40,50,100,50,0.1,0.85,0,1
2022-10-03,0005.HK,10,20,128,1000,40,50,100,50,0.1,0.9,0,1
2022-10-03,0005.HK,10,20,128,1000,40,50,100,50,0.1,0.95,0,1
2022-10-03,0005.HK,10,20,128,1000,40,100,100,50,0,0.8,0,1
2022-10-03,0005.HK,10,20,128,1000,40,100,100,50,0.01,0.8,0,1
2022-10-03,0005.HK,10,20,128,1000,40,100,100,50,0.1,0.85,0,1
2022-10-03,0005.HK,10,20,128,1000,40,100,100,50,0.1,0.9,0,1
2022-10-03,0005.HK,10,20,128,1000,40,100,100,50,0.1,0.95,0,1
2022-10-03,0005.HK,10,20,128,1000,50,50,100,50,0,0.8,0,1
2022-10-03,0005.HK,10,20,128,1000,50,50,100,50,0.01,0.8,0,1
2022-10-03,0005.HK,10,20,128,1000,50,50,100,50,0.1,0.85,0,1
2022-10-03,0005.HK,10,20,128,1000,50,50,100,50,0.1,0.9,0,1
2022-10-03,0005.HK,10,20,128,1000,50,50,100,50,0.1,0.95,0,1
2022-10-03,0144.HK,10,20,128,1000,40,50,100,50,0,0.8,0,1
2022-10-03,0144.HK,10,20,128,1000,40,50,100,50,0.01,0.8,0,1
2022-10-03,0144.HK,10,20,128,1000,40,50,100,50,0.1,0.85,0,1
2022-10-03,0144.HK,10,20,128,1000,40,50,100,50,0.1,0.9,0,1
2022-10-03,0144.HK,10,20,128,1000,40,50,100,50,0.1,0.95,0,1
2022-10-03,0144.HK,10,20,128,1000,40,100,100,50,0,0.8,0,1
2022-10-03,0144.HK,10,20,128,1000,40,100,100,50,0.01,0.8,0,1
2022-10-03,0144.HK,10,20,128,1000,40,100,100,50,0.1,0.85,0,1
2022-10-03,0144.HK,10,20,128,1000,40,100,100,50,0.1,0.9,0,1
2022-10-03,0144.HK,10,20,128,1000,40,100,100,50,0.1,0.95,0,1
2022-10-03,0144.HK,10,20,128,1000,50,50,100,50,0,0.8,0,1
2022-10-03,0144.HK,10,20,128,1000,50,50,100,50,0.01,0.8,0,1
2022-10-03,0144.HK,10,20,128,1000,50,50,100,50,0.1,0.85,0,1
2022-10-03,0144.HK,10,20,128,1000,50,50,100,50,0.1,0.9,0,1
2022-10-03,0144.HK,10,20,128,1000,50,50,100,50,0.1,0.95,0,1
2022-10-03,2888.HK,10,20,128,1000,40,50,100,50,0,0.8,0,1
2022-10-03,2888.HK,10,20,128,1000,40,50,100,50,0.01,0.8,0,1
2022-10-03,2888.HK,10,20,128,1000,40,50,100,50,0.1,0.85,0,1
2022-10-03,2888.HK,10,20,128,1000,40,50,100,50,0.1,0.9,0,1
2022-10-03,2888.HK,10,20,128,1000,40,50,100,50,0.1,0.95,0,1
2022-10-03,2888.HK,10,20,128,1000,40,100,100,50,0,0.8,0,1
2022-10-03,2888.HK,10,20,128,1000,40,100,100,50,0.01,0.8,0,1
2022-10-03,2888.HK,10,20,128,1000,40,100,100,50,0.1,0.85,0,1
2022-10-03,2888.HK,10,20,128,1000,40,100,100,50,0.1,0.9,0,1
2022-10-03,2888.HK,10,20,128,1000,40,100,100,50,0.1,0.95,0,1
2022-10-03,2888.HK,10,20,128,1000,50,50,100,50,0,0.8,0,1
2022-10-03,2888.HK,10,20,128,1000,50,50,100,50,0.01,0.8,0,1
2022-10-03,2888.HK,10,20,128,1000,50,50,100,50,0.1,0.85,0,1
2022-10-03,2888.HK,10,20,128,1000,50,50,100,50,0.1,0.9,0,1
2022-10-03,2888.HK,10,20,128,1000,50,50,100,50,0.1,0.95,0,1
