Announcement Date,年度/截至,派息事項,派息內容,方式,Div Date,截止過戶日期,Div Issue Date
2022-08-01,2022-12-22,第二次中期業績,股息：美元 0.0900,現金,2022-08-18,2022-08-19,2022-09-29
2022-04-26,2022-12-22,中期業績,無派息,-,-,-,-
2022-02-22,2022-12-21,第四次中期業績,股息：美元 0.1800,現金,2022-03-10,2022-03-11,2022-04-28
2021-10-25,2022-12-21,第三次中期業績,無派息,-,-,-,-
2021-08-02,2022-12-21,第二次中期業績,股息：美元 0.0700,現金,2021-08-19,2021-08-20,2021-09-30
2021-04-27,2022-12-21,中期業績,無派息,-,-,-,-
2021-02-23,2022-12-20,第四次中期業績,股息：美元 0.1500,現金,2021-03-11,2021-03-12,2021-04-29
2020-10-27,2022-12-20,第三次中期業績,無派息,-,-,-,-
2020-08-03,2022-12-20,第二次中期業績,無派息,-,-,-,-
2020-04-28,2022-12-20,中期業績,無派息,-,-,-,-
2020-02-18,2022-12-19,第四次中期業績,無派息,-,-,-,-
2019-10-02,2022-12-19,第三次中期業績,股息：美元 0.1000,現金/實物,2019-10-10,2019-10-11,2019-11-20
2019-08-05,2022-12-19,第二次中期業績,股息：美元 0.1000,現金/實物,2019-08-15,2019-08-16,2019-09-26
2019-05-03,2022-12-19,中期業績,股息：美元 0.1000,現金/實物,2019-05-16,2019-05-17,2019-07-05
2019-02-19,2022-12-18,第四次中期業績,股息：美元 0.2100,現金/實物,2019-02-21,2019-02-22,2019-04-08
2018-10-02,2022-12-18,第三次中期業績,股息：美元 0.1000,現金/實物,2018-10-11,2018-10-12,2018-11-21
2018-08-06,2022-12-18,第二次中期業績,股息：美元 0.1000,現金/實物,2018-08-16,2018-08-17,2018-09-27
2018-05-04,2022-12-18,中期業績,股息：美元 0.1000,現金/實物,2018-05-17,2018-05-18,2018-07-05
2018-02-20,2022-12-17,第四次中期業績,股息：美元 0.2100,現金/實物,2018-02-22,2018-02-23,2018-04-06
2017-10-03,2022-12-17,第三次中期業績,股息：美元 0.1000,現金/實物,2017-10-12,2017-10-13,2017-11-22
2017-07-31,2022-12-17,第二次中期業績,股息：美元 0.1000,現金/實物,2017-08-03,2017-08-04,2017-09-20
2017-05-04,2022-12-17,中期業績,股息：美元 0.1000 (相當於港元 0.779772 或英鎊 0.078636),現金/實物,2017-05-18,2017-05-19,2017-07-05
2017-02-21,2022-12-16,第四次中期業績,股息：美元 0.2100(相當於港元 1.631031 或英鎊 0.166757),現金/實物,2017-02-23,2017-02-24,2017-04-06
2016-10-03,2022-12-16,第三次中期業績,股息：美元 0.1000(相當於港元0.775559或英鎊0.080417）,現金/實物,2016-10-20,2016-10-24,2016-12-06
2016-08-03,2022-12-16,第二次中期業績,股息：美元 0.1000（相當於港元0.775761或英鎊0.076633）,現金/實物,2016-08-11,2016-08-12,2016-09-28
2016-05-03,2022-12-16,中期業績,股息：美元 0.1000（相當於港元0.775746或英鎊0.075421）,現金/實物,2016-05-19,2016-05-20,2016-07-06
2016-02-22,2022-12-15,第四次中期業績,股息：美元 0.2100（相當於港元1.628747或英鎊0.147908）,現金/實物,2016-03-03,2016-03-04,2016-04-20
2015-10-05,2022-12-15,第三次中期業績,股息：美元 0.1000（相當於港元0.774977或英鎊0.066015）,現金/實物,2015-10-22,2015-10-23,2015-12-03
2015-08-03,2022-12-15,第二次中期業績,股息：美元 0.1000（相當於港元0.774972或英鎊0.064436）,現金/實物,2015-08-13,2015-08-14,2015-10-02
2015-05-05,2022-12-15,中期業績,股息：美元 0.1000（相當於港元0.775277或英鎊0.063709）,現金/實物,2015-05-21,2015-05-22,2015-07-08
2015-02-23,2022-12-14,第四次中期業績,股息：美元 0.2000（相當於港元1.5500或英鎊0.1340）,現金/實物,2015-03-05,2015-03-06,2015-04-30
2014-10-06,2022-12-14,第三次中期業績,股息：美元 0.1000（相當於港元0.775524或英鎊0.063633）,現金/實物,2014-10-23,2014-10-24,2014-12-10
2014-08-04,2022-12-14,第二次中期業績,股息：美元 0.1000（相當於港元0.776532或英鎊0.061622）,現金/實物,2014-08-20,2014-08-21,2014-10-09
2014-05-07,2022-12-14,中期業績,股息：美元 0.1000（相當於港元0.775155或英鎊0.058768）,現金/實物,2014-05-21,2014-05-22,2014-07-10
2014-02-24,2022-12-13,第四次中期業績,股息：美元 0.1900（相當於港元1.473034或英鎊0.112919）,現金/實物,2014-03-12,2014-03-13,2014-04-30
