Date,stock_key,multivariate_past_history,rnn_start,BATCH_SIZE,EPOCHS,EVALUATION_INTERVAL,PATIENCE,BUFFER_SIZE,VAL_STEPS,DROP_OUT,train_split,multivariate_future_target,STEP
2022-10-09,0001.HK,50,50,64,500,30,50,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,50,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,50,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,50,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,50,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,50,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,50,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,50,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,50,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,50,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,50,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,50,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,50,64,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,50,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,50,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,50,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,50,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,50,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,50,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,50,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,50,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,50,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,50,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,50,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,50,64,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,50,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,50,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,50,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,50,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,50,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,50,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,50,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,50,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,50,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,50,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,50,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,50,64,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,50,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,50,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,50,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,50,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,50,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,50,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,50,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,50,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,50,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,50,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,50,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,100,64,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,100,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,100,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,100,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,100,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,100,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,100,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,100,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,100,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,100,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0001.HK,50,100,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0001.HK,50,100,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,100,64,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,100,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,100,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,100,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,100,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,100,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,100,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,100,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,100,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,100,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0005.HK,50,100,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0005.HK,50,100,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,100,64,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,100,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,100,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,100,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,100,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,100,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,100,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,100,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,100,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,100,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,0144.HK,50,100,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,0144.HK,50,100,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,100,64,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,100,64,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,100,64,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,100,64,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,100,128,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,100,128,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,100,128,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,100,128,400,40,100,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,100,256,400,30,50,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,100,256,400,30,50,100,50,0.3,0.8,0,1
2022-10-09,2888.HK,50,100,256,400,40,100,100,50,0.1,0.8,0,1
2022-10-09,2888.HK,50,100,256,400,40,100,100,50,0.3,0.8,0,1
2022-10-10,0001.HK,50,50,256,1000,40,100,100,50,0.1,0.8,0,1
2022-10-10,0001.HK,50,50,64,1000,40,100,100,50,0.1,0.8,0,1
2022-10-10,0001.HK,50,50,128,1000,40,100,100,50,0.1,0.8,0,1
2022-10-11,0001.HK,20,365,256,1000,30,50,100,50,0.01,0.8,0,1
2022-10-11,0001.HK,20,365,256,1000,30,50,100,50,0.1,0.8,0,1
2022-10-11,0001.HK,20,365,256,1000,30,50,100,50,0.3,0.8,0,1
2022-10-11,0001.HK,20,100,256,1000,30,50,100,50,0.01,0.8,0,1
