Announcement Date,年度/截至,派息事項,派息內容,方式,Div Date,截止過戶日期,Div Issue Date
2022-08-04,,,,,2022-09-05,2022-09-16,2022-09-16
2022-03-17,2021/12,末期業績,股息：港元 1.8600,現金,2022-05-24,2022-05-25,2022-06-09
2021-08-05,2021/12,中期業績,股息：港元 0.8000,現金,2021-09-06,2021-09-07,2021-09-16
2021-03-18,2020/12,末期業績,股息：港元 1.7000,現金,2021-05-18,2021-05-20,2021-06-03
2020-08-06,2020/12,中期業績,股息：港元 0.6140,現金,2020-09-07,2020-09-08,2020-09-17
2020-03-19,2019/12,末期業績,股息：港元 2.3000,現金,2020-05-19,2020-05-20,2020-05-29
2019-08-01,2019/12,中期業績,股息：港元 0.8700,現金,2019-09-02,2019-09-03,2019-09-12
2019-03-21,2018/12,末期業績,股息：港元 2.3000,現金,2019-05-21,2019-05-22,2019-05-31
2018-08-02,2018/12,中期業績,股息：港元 0.8700,現金,2018-09-03,2018-09-04,2018-09-13
2018-03-16,2017/12,末期業績,股息：港元 2.0700,現金,2018-05-15,2018-05-16,2018-05-31
2017-08-03,2017/12,中期業績,股息：港元 0.7800,現金,2017-09-04,2017-09-05,2017-09-14
2017-03-22,2016/12,末期業績,股息：港元 1.9450,現金,2017-05-16,2017-05-17,2017-05-31
2016-08-11,2016/12,中期業績,股息：港元 0.7350,現金,2016-09-09,2016-09-12,2016-09-22
2016-03-17,2015/12,末期業績,股息：港元 1.8500,現金,2016-05-18,2016-05-19,2016-06-01
2015-08-25,2015/12,中期業績,股息：港元 0.7000,現金,2015-09-22,2015-09-23,2015-10-06
2015-02-26,2014/12,第二次中期業績,股息：港元 3.0160（代替末期股息）,現金,2015-03-11,2015-03-17,2015-04-15
2015-02-05,-,特別報告,撤回上市,-,2015-03-18,-,-
2015-01-09,-,特別報告,其他派送：每持有1股計劃股份獲取1股長江和記實業有限公司股份,實物,2015-03-18,-,-
2015-01-09,-,特別報告,實物分派：每1股長江和記實業有限公司股份獲分派1股長江實業地產有限公司股份,實物,2015-05-27,2015/05/29-2015/06/02,2015-06-02
2014-07-31,2014/12,中期業績,股息：港元 0.6380,現金,2014-09-01,2014-09-02,2014-09-12
2014-03-21,2014/12,特別報告,特別股息：港元 7.0000,現金,2014-05-05,2014-05-07,2014-05-14
2014-02-28,2013/12,末期業績,股息：港元 2.9000,現金,2014-05-21,2014-05-22,2014-06-05
2013-08-01,2013/12,中期業績,股息：港元 0.5800,現金,2013-09-03,2013-09-04,2013-09-13
2013-03-26,2012/12,末期業績,股息：港元 2.6300,現金,2013-05-24,2013-05-27,2013-06-07
