Announcement Date,年度/截至,派息事項,派息內容,方式,Div Date,截止過戶日期,Div Issue Date
2012-10-11,-,特別報告,優先發售：保證配額以優先發售Horizon Hospitality Investments及Horizon Hospitality(Holdings)股份合訂單位,-,-,-,-
2012-08-02,2012/12,中期業績,股息：港元 0.5300,現金,2012-09-11,2012/09/13-2012/09/20,2012-09-21
2012-03-29,2011/12,末期業績,股息：港元 2.6300,現金,2012-05-30,-,2012-06-14
2011-08-04,2011/12,中期業績,股息：港元 0.5300,現金,2011-09-12,2011/09/15-2011/09/22,2011-09-23
2011-03-29,2010/12,末期業績,股息：港元 2.4500,現金,2011-05-11,2011/05/13-2011/05/20,2011-05-25
2010-08-05,2010/12,中期業績,股息：港元 0.5000,現金,2010-09-10,2010/09/14-2010/09/21,2010-09-22
2010-03-30,2009/12,末期業績,股息：港元 2.2000,現金,2010-05-18,2010/05/20-2010/05/27,2010-06-01
2009-08-13,2009/12,中期業績,股息：港元 0.5000,現金,2009-09-24,2009/09/28-2009/10/05,2009-10-06
2009-03-26,2008/12,末期業績,股息：港元 1.9500,現金,2009-05-12,2009/05/14-2009/05/21,2009-05-26
2008-08-21,2008/12,中期業績,股息：港元 0.5000,現金,2008-09-29,2008/10/02-2008/09/09,2008-10-10
2008-03-27,2007/12,末期業績,股息: 港元 1.9500,現金,2008-05-13,2008/05/15-2008/05/22,2008-05-27
2007-09-12,2007/12,中期業績,股息: 港元 0.5000,現金,2007-10-02,2007/10/04-2007/10/11,2007-10-12
2007-03-22,2006/12,末期業績,股息: 港元 1.7400,現金,2007-05-08,2007/05/10-2007/05/17,2007-05-22
2006-08-24,2006/12,中期業績,股息: 港元 0.4600,現金,2006-10-03,2006/10/05-2006/10/12,2006-10-13
2006-03-23,2005/12,末期業績,股息: 港元 1.5800,現金,2006-05-09,2006/05/11-2006/05/18,2006-05-23
2005-10-28,2005/12,特別報告,優先發售：每32股可認購1個泓富產業信託保留基金單位,-,2005-11-10,2005/11/12-2005/11/12,-
2005-08-25,2005/12,中期業績,股息: 港元 0.4200,現金,2005-10-04,2005/10/06-2005/10/13,2005-10-14
2005-03-31,2004/12,末期業績,股息: 港元 1.4200,現金,2005-05-10,2005/05/12-2005/05/19,2005-05-24
2004-08-19,2004/12,中期業績,股息: 港元 0.3800,現金,2004-10-05,2004/10/07-2004/10/14,2004-10-15
2004-03-18,2003/12,末期業績,股息: 港元 1.3000,現金,2004-05-11,2004/05/13-2004/05/20,2004-05-25
2003-08-21,2003/12,中期業績,股息: 港元 0.3800,現金,2003-10-07,2003/10/09-2003/10/16,2003-10-17
2003-03-20,2002/12,末期業績,股息: 港元 1.2200,現金,2003-05-13,2003/05/15-2003/05/22,2003-05-27
2002-08-22,2002/12,中期業績,股息: 港元 0.3800,現金,2002-10-08,2002/10/10-2002/10/17,2002-10-18
2002-06-06,2002/12,特別報告,優先發售：每持有二十五股長江實業股份可認購一股長江生命科技集團有限公司之預留股份,-,2002-06-19,2002/06/21-2002/06/21,-
2002-03-21,2001/12,末期業績,股息: 港元 1.2200,現金,2002-05-14,2002/05/16-2002/05/23,2002-05-28
2001-08-23,2001/12,中期業績,股息: 港元 0.3800,現金,2001-10-09,2001/10/11-2001/10/18,2001-10-19
2001-03-22,2000/12,末期業績,股息: 港元 1.2200,現金,2001-05-15,2001/05/17-2001/05/24,2001-05-29
2000-08-24,2000/12,中期業績,股息: 港元 0.3800,現金,2000-10-10,2000/10/12-2000/10/19,2000-10-20
