Date,stock_key,multivariate_past_history,rnn_start,BATCH_SIZE,EPOCHS,EVALUATION_INTERVAL,PATIENCE,BUFFER_SIZE,VAL_STEPS,DROP_OUT,train_split,multivariate_future_target,STEP
2022-10-03,0001.HK,10,20,128,1000,30,50,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,30,100,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,30,150,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,40,50,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,40,100,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,40,150,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,50,50,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,50,100,100,50,0.1,0.8,0,1
2022-10-03,0001.HK,10,20,128,1000,50,150,100,50,0.1,0.8,0,1
2022-10-08,0001.HK,10,20,128,2,50,100,100,50,0.1,0.8,0,1
