Announcement Date,年度/截至,派息事項,派息內容,方式,Div Date,截止過戶日期,Div Issue Date
2022-03-30,21-Dec,末期業績,股息：港元 0.7200,現金/實物,2022-06-10,2022-06-13,2022-07-22
2021-08-30,21-Dec,中期業績,股息：港元 0.2200,現金/實物,2021-09-24,2021/09/28-2021/10/04,2021-11-18
2021-03-30,20-Dec,末期業績,股息：港元 0.5100,現金/實物,2021-06-08,2021-06-09,2021-07-16
2020-08-28,20-Dec,中期業績,股息：港元 0.1800,現金/實物,2020-09-23,2020/09/25-2020/09/30,2020-11-16
2020-03-30,19-Dec,末期業績,股息：港元 0.5800,現金/實物,2020-06-18,2020-06-19,2020-07-30
2019-08-30,19-Dec,中期業績,股息：港元 0.2200,現金/實物,2019-09-23,2019/09/25-2019/10/03,2019-11-15
2019-03-29,18-Dec,末期業績,股息：港元 0.7300,現金/實物,2019-06-10,2019-06-11,2019-07-18
2018-08-31,18-Dec,中期業績,股息：港元 0.2200,現金/實物,2018-09-21,2018/09/24-2018/10/02,2018-11-15
2018-03-29,17-Dec,末期業績,股息：港元 0.5900,現金/實物,2018-06-07,2018-06-08,2018-07-17
2017-08-31,17-Dec,中期業績,股息：港元 0.2200,現金/實物,2017-09-21,2017/09/25-2017/10/03,2017-11-16
2017-08-31,17-Dec,中期業績,特別股息：港元 1.3500,現金/實物,2017-09-21,2017/09/25-2017/10/03,2017-11-16
2017-03-29,16-Dec,末期業績,股息：港元 0.6500,現金/實物,2017-06-08,2017-06-09,2017-07-18
2016-08-31,16-Dec,中期業績,股息：港元 0.2200,現金/實物,2016-09-22,2016/09/24-2016/10/03,2016-11-16
2016-03-31,15-Dec,末期業績,股息：港元 0.5500,現金/實物,2016-06-08,2016-06-10,2016-07-18
2015-08-31,15-Dec,中期業績,股息：港元 0.2200,現金/實物,2015-09-23,2015/09/25-2015/10/05,2015-11-18
2015-05-20,-,特別報告,每單位強制可換股證券第二次分派：港元 1.2104,現金,-,-,2015-06-15
2015-03-31,14-Dec,末期業績,股息：港元 0.5500,現金/實物,2015-06-03,2015-06-04,2015-07-10
2014-11-14,-,特別報告,每單位強制可換股證券首次分派：港元 1.2104,現金,-,-,2014-12-15
2014-08-28,14-Dec,中期業績,股息：港元 0.2200,現金/實物,2014-09-24,2014/09/26-2014/10/06,2014-11-27
2014-03-31,13-Dec,末期業績,股息：港元 0.5500,現金/實物,2014-05-28,2014-05-29,2014-07-04
2014-03-31,-,特別報告,公開發售：5股供1單位非上市強制可換股證券@港元 30.2600,-,2014-05-14,2014/05/16-2014/05/23,2014-06-05
2013-08-29,13-Dec,中期業績,股息：港元 0.2200,現金/實物,2013-09-25,2013/09/27-2013/10/07,2013-11-28
2013-03-27,12-Dec,末期業績,股息：港元 0.4800,現金/實物,2013-06-21,2013-06-24,2013-07-30
2012-08-30,12-Dec,中期業績,股息：港元 0.2200,現金/實物,2012-09-25,2012/09/27-2012/10/05,2012-11-28
2012-03-29,11-Dec,末期業績,股息：港元 0.6800,現金/實物,2012-06-05,-,2012-07-20
